PRE_Reason,POST_Reason,fly_name_reference,date,reference_hour,machine_name,CS,US,Dilution,food,region_id,Files,PRE_ROI,POST_ROI,Genotype,Gender,Age,interactor,Training,comment on SD,User,experiment,PRE_1,PRE_2,PRE,POST_1,POST_2,POST,SD_status,interval
,,2023-07-10_16-10-48(ET_1h)_ROI_1,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),1,1,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.333333333333333,-0.333333333333333,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_2,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),2,2,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.272727272727273,-0.111111111111111,-0.191919191919192,-1,-1,-1,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_3,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),3,3,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.2,0,-0.1,-0.714285714285714,-0.5,-0.607142857142857,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_4,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),4,4,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.333333333333333,0.6,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_5,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),5,5,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,NA,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_6,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),6,6,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0.142857142857143,0,,-0.6,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_7,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),7,7,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,0.333333333333333,,-1,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_8,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),8,8,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,,NA,NA,,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_9,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),9,9,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,-0.333333333333333,0,-0.166666666666667,NA,-1,-1,NONE,No_stimulator
,,2023-07-10_16-10-48(ET_1h)_ROI_10,,,,OCT,75V 0Ω,500,NONE,,2023-07-10_16-10-48(ET_1h),10,10,Iso31,FALSE,4,NONE,1X,NONE,ET,1hr STM,0,-0.142857142857143,-0.0714285714285714,-0.5,-0.142857142857143,-0.321428571428571,NONE,No_stimulator
