Files,Genotype,PRE_ROI,POST_ROI,User,fly_name_reference,Gender,Age,ATR,Training,Odor,Sugar,Electric shock,PRE,PRE_1,PRE_2,POST,POST_1,POST_2,Keep,SD_quality,SD_quality_second_eye,interactor_time_window,interactor,comment on SD,experiment,PRE_Reason,POST_Reason,date,machine_name,region_id,sheet,row_number,reference_hour
2023-07-12_14-25-09_e36_roi_11-IDOC_roi_NA,Iso31,,11,ET,2023-07-12_14-25-09_e36_roi_11-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-12,ETHOSCOPE_036,11,24hr_LTM,11,11
2023-07-12_14-25-09_e36_roi_12-IDOC_roi_NA,Iso31,,12,ET,2023-07-12_14-25-09_e36_roi_12-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-12,ETHOSCOPE_036,12,24hr_LTM,12,11
2023-07-12_14-25-09_e36_roi_13-IDOC_roi_NA,Iso31,,13,ET,2023-07-12_14-25-09_e36_roi_13-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-12,ETHOSCOPE_036,13,24hr_LTM,13,11
2023-07-12_14-25-09_e36_roi_14-IDOC_roi_NA,Iso31,,14,ET,2023-07-12_14-25-09_e36_roi_14-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-12,ETHOSCOPE_036,14,24hr_LTM,14,11
2023-07-12_14-25-09_e36_roi_15-IDOC_roi_NA,Iso31,,15,ET,2023-07-12_14-25-09_e36_roi_15-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-12,ETHOSCOPE_036,15,24hr_LTM,15,11
2023-07-12_14-25-09_e36_roi_16-IDOC_roi_NA,Iso31,,16,ET,2023-07-12_14-25-09_e36_roi_16-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-12,ETHOSCOPE_036,16,24hr_LTM,16,11
2023-07-12_14-25-09_e36_roi_17-IDOC_roi_NA,Iso31,,17,ET,2023-07-12_14-25-09_e36_roi_17-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-12,ETHOSCOPE_036,17,24hr_LTM,17,11
2023-07-12_14-25-09_e36_roi_18-IDOC_roi_NA,Iso31,,18,ET,2023-07-12_14-25-09_e36_roi_18-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-12,ETHOSCOPE_036,18,24hr_LTM,18,11
2023-07-12_14-25-09_e36_roi_19-IDOC_roi_NA,Iso31,,19,ET,2023-07-12_14-25-09_e36_roi_19-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-12,ETHOSCOPE_036,19,24hr_LTM,19,11
2023-07-13_16-05-32_e36_roi_11-IDOC_roi_NA,Iso31,,11,ET,2023-07-13_16-05-32_e36_roi_11-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,0,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-13,ETHOSCOPE_036,11,24hr_LTM,31,11
2023-07-13_16-05-32_e36_roi_12-IDOC_roi_NA,Iso31,,12,ET,2023-07-13_16-05-32_e36_roi_12-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-13,ETHOSCOPE_036,12,24hr_LTM,32,11
2023-07-13_16-05-32_e36_roi_13-IDOC_roi_NA,Iso31,,13,ET,2023-07-13_16-05-32_e36_roi_13-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-13,ETHOSCOPE_036,13,24hr_LTM,33,11
2023-07-13_16-05-32_e36_roi_14-IDOC_roi_NA,Iso31,,14,ET,2023-07-13_16-05-32_e36_roi_14-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-13,ETHOSCOPE_036,14,24hr_LTM,34,11
2023-07-13_16-05-32_e36_roi_15-IDOC_roi_NA,Iso31,,15,ET,2023-07-13_16-05-32_e36_roi_15-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-13,ETHOSCOPE_036,15,24hr_LTM,35,11
2023-07-13_16-05-32_e36_roi_16-IDOC_roi_NA,Iso31,,16,ET,2023-07-13_16-05-32_e36_roi_16-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-13,ETHOSCOPE_036,16,24hr_LTM,36,11
2023-07-13_16-05-32_e36_roi_17-IDOC_roi_NA,Iso31,,17,ET,2023-07-13_16-05-32_e36_roi_17-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-13,ETHOSCOPE_036,17,24hr_LTM,37,11
2023-07-18_15-25-46_e42_roi_11-IDOC_roi_NA,Iso31,,11,ET,2023-07-18_15-25-46_e42_roi_11-IDOC_roi_NA_ROI_,FALSE,4,N,No_training,OCT,N,"75V, 1/4 sec",,,,,,,TRUE,No_sleep_depriver,No_sleep_depriver,No_stimulator,DefaultStimulator,NA,24hr LTM,,,2023-07-18,ETHOSCOPE_042,11,24hr_LTM,49,11
